inlist_name,runtime_seconds,completion_status
inlist_M5_Z0.014_exponential_fov0.03_f00.005,46,completed
inlist_M5_Z0.014_exponential_fov0.03_f00.01,47,completed
inlist_M5_Z0.014_exponential_fov0.1_f00.001,47,completed
inlist_M5_Z0.014_exponential_fov0.1_f00.005,47,completed
inlist_M5_Z0.014_exponential_fov0.1_f00.01,47,completed
inlist_M5_Z0.014_noovs,47,completed
inlist_M5_Z0.014_step_fov0.1_f00.001,46,completed
inlist_M5_Z0.014_step_fov0.1_f00.005,47,completed
inlist_M5_Z0.014_step_fov0.1_f00.01,46,completed
inlist_M5_Z0.014_step_fov0.3_f00.001,46,completed
inlist_M5_Z0.014_step_fov0.3_f00.005,46,completed
inlist_M5_Z0.014_step_fov0.3_f00.01,46,completed
